pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
   65 Frame processing times:  Cur. 4.495834 ms  |  Avg. 4.000000 ms  |  matches:  1600
   66 Frame processing times:  Cur. 4.505575 ms  |  Avg. 4.000000 ms  |  matches:  1600
   67 Frame processing times:  Cur. 4.480092 ms  |  Avg. 4.000000 ms  |  matches:  1600
   68 Frame processing times:  Cur. 4.507740 ms  |  Avg. 4.000000 ms  |  matches:  1600
   69 Frame processing times:  Cur. 4.495240 ms  |  Avg. 4.000000 ms  |  matches:  1600
   70 Frame processing times:  Cur. 4.497592 ms  |  Avg. 4.000000 ms  |  matches:  1600
   71 Frame processing times:  Cur. 4.511204 ms  |  Avg. 4.000000 ms  |  matches:  1600
   72 Frame processing times:  Cur. 4.483167 ms  |  Avg. 4.000000 ms  |  matches:  1600
   73 Frame processing times:  Cur. 4.498666 ms  |  Avg. 4.000000 ms  |  matches:  1600
   74 Frame processing times:  Cur. 4.524000 ms  |  Avg. 4.000000 ms  |  matches:  1600
   75 Frame processing times:  Cur. 4.457295 ms  |  Avg. 4.000000 ms  |  matches:  1600
   76 Frame processing times:  Cur. 4.542481 ms  |  Avg. 4.000000 ms  |  matches:  1600
   77 Frame processing times:  Cur. 4.500759 ms  |  Avg. 4.000000 ms  |  matches:  1600
   78 Frame processing times:  Cur. 4.484962 ms  |  Avg. 4.000000 ms  |  matches:  1600
   79 Frame processing times:  Cur. 4.488056 ms  |  Avg. 4.000000 ms  |  matches:  1600
   80 Frame processing times:  Cur. 4.524407 ms  |  Avg. 4.000000 ms  |  matches:  1600
   81 Frame processing times:  Cur. 4.507574 ms  |  Avg. 4.000000 ms  |  matches:  1600
   82 Frame processing times:  Cur. 4.466537 ms  |  Avg. 4.000000 ms  |  matches:  1600
   83 Frame processing times:  Cur. 4.511425 ms  |  Avg. 4.000000 ms  |  matches:  1600
   84 Frame processing times:  Cur. 4.486371 ms  |  Avg. 4.000000 ms  |  matches:  1600
